id;origem;texto;sent_gpt5
1;manual;Uma vergonha essa @CEEE_Equatorial @EquatorialGoias desde as 08h da manhã nada mais, nada menos de 12 quedas de energia no Distrito de Campos Lindos em Cristalina Goiás. Queima eletrodomésticos e aí? Cliente deveria deixar de pagar as contas pra poder pagar os eletrodomésticos;negativo
2;manual;Aqui em Goiânia Goiás na casa da minha avó a geladeira não congela mais desde 2 da manhã, celular demora quase 5 horas pra carregar, a luz tá piscando e extremamente fraca;negativo
3;manual;"Liguei na equatorial e disseram que ""não houve nenhuma reclamação ou falta de energia na sua região"" disseram que vão mandar técnicos, as carnes TÃO DESCONGELANDO TUDOOOOO";negativo
4;manual;Alô @EquatorialGoias. Fizeram a poda em frente minha casa e dos meus vizinhos e deixaram assim.... na frente do meu portão de acesso. Não consigo entrar na minha casa!!!!!;negativo
5;manual;Morador de #Trindade reclama de poda severa de árvores pela @EquatorialGoias. Concessionária informa que faz o serviço seguindo padrão de poda e a Prefeitura diz que cobrará à concessionária o cumprimento das obrigações;negativo
6;manual;Aow, @equatorialgoias: mas que maravilha, hein? Agora querem ficar parecido com a falecida Enel? Toda hora cai a energia. Estão bem em sintonia com a situação do país. Vcs já foram melhores.;negativo
7;manual;@EquatorialGoias Como que vocês incluem seguro na minha conta, sendo que eu nunca contratei esse serviço e pra solicitar o reembolso eu tenho que me deslocar até uma agência que demora horas pra atender.;negativo
8;manual;Obrigado @EquatorialGoias pelas 18 horas sem energia;negativo
9;manual;TOOOOOOODOS OS DIAS de madrugada cai a energia em casa, de 2 a 3x, recentemente queimou o freezer, jaja minha geladeira novinha vai pro saco tbm, @EquatorialGoias peeeeeeeessima;negativo
10;manual;Cada vez mais goianos usam o Pix para quitar a conta de luz, atraídos pela agilidade e pelo Pix programado. Porém, com o aumento de fraudes, a Equatorial Goiás orienta a sempre verificar o destinatário, CNPJ e banco recebedor antes de confirmar a transação.;neutro
11;manual;@EquatorialGoias tá de parabéns, conseguiu deixar PIOR o trânsito da 85, agora tá a região (Marista, Oeste) toda travada… e pra piorar, a SMM, SMT, SET, CET (td dia muda de nome) faz uma gestão de tráfego vergonhosa.;negativo
12;manual;Vcs não passam de uma empresa canalha que sempre deixa a população na mão! Preço de energia caríssimo, serviço prestado de péssima qualidade e não são punidos como bandidos que são!!! Cadeia pra Equatorial!!;negativo
13;manual;A energia da @EquatorialGoias está parecendo uma rave aqui em casa, piscando sem parar desde às 6h da tarde, enquanto não queimar as coisas não vai parar.;negativo
14;manual;@EquatorialGoias ontem fizeram uma manutenção na minha rua e a energia na minha casa voltou parcialmente. Já abri diversos protocolos e ninguém resolve o problema. Agora fico eu, no fim de semana, carregando esse pepino. Que péssimo atendimento!;negativo
15;manual;Até pra pagar conta pra vcs é difícil. Pqp que inferno;negativo
16;manual;Aqui está dizendo que não posso mandar mensagem para vocês. Tô aguardando o contato!;neutro
17;manual;@EquatorialGoias estou a mais de 24h sem energia, tenho duas crianças pequenas e a esposa grávida, façam alguma coisa. Isso é um descaso.;negativo
18;manual;Já fizemos e nada, absolutamente nada resolveu. Infelizmente @EquatorialGoias vive acima da lei. O povo é um instrumento de desprezo vil, vil no sentido mais infame da vileza.;negativo
19;manual;@EquatorialGoias aqui no Residencial dos Ipês - Goiânia está acabando a energia TODOS OS DIAS. Sem falta. Falta de respeito com a gente, falta de responsabilidade.;negativo
20;manual;@EquatorialGoias você é uma vergonha, mais de 12 horas sem energia.;negativo
21;manual;7 anos de fotos, áudios e vídeos jogado no lixo sem jeito de recuperar pq essa desgraça dessa @EquatorialGoias tem serviço porco e uma energia q não serve nem pra acender luz de puteiro.;negativo
