id;origem;texto;sent_gpt5
1;manual;"O simples fato do hospital privado, na época dos fatos, estar vinculado ao SUS-Sistema Único de Saúde, aos ""olhos da lei"", seriam ""agentes públicos"", logo, isentos de suas responsabilidades.";neutro
2;manual;O SUS é um patrimonio depreciado, em geral, por quem devia dar graças. Viva o SUS-SISTEMA ÚNICO DE SAÚDE O Bozo precisou... o SUS o acolheu!Em três situações de emergência, no interesse de terceiras pessoas, acionei e o SAMU não demorou 10 minutos para atender a ocorrência.;positivo
3;manual;No Brasil existe o SUS-Sistema Único de Saúde, onde todos os Brasileiros tem o direito de ser atendido sem pagar absolutamente nada.;neutro
4;manual;Hoje é dia do SUS-Sistema Único de Saúde, o maior sistema público de saúde do mundo. Mas vem sendo atacado e desmontado ao longo dos anos por todos os governos, c/ privatização, terceirização e corte de investimentos. O arcabouço fiscal do Gov Lula é um exemplo;neutro
5;manual;o curioso caso do médico do SUS que reclama de atender (e quase negou) pois o paciente não estava na cidade em que mora, sendo que o médico atende no SISTEMA ÚNICO DE SAÚDE, repito UNICOOOO;neutro
6;manual;Opinião impopular talvez? Se eu pudesse mudar tudo, na saude, eu vetaria todos os planos de saúde privados, todas as operadoras. Investiria toda grana do orçamento no SUS e um pouco mais. Tornaria o sus de fato o sistema único de saúde e o melhor.;positivo
7;manual;Kkk e isso está errado. Um município ou estado não podem negar o acesso a serviços públicos a pessoas de outros estados, pois o princípio da universalidade garante a igualdade de acesso a todos, conforme o Sistema Único de Saúde (SUS) e outros serviços públicos.;neutro
8;manual;Nao, apenas espanha e portugal tem sistema unico de saude, nao é igual ao sus, mas é bem similar, ja na alemanha, frança, suiza.. entre outras, vc precisa de um plano de saude mesmo sendo do governo PAGO, para ter acesso ao sistema, o valor é simbólico, mas nao é gratuito;neutro
9;manual;O Sistema Único de Saúde (SUS) do Brasil realiza o maior número de cirurgias gratuitas no mundo, com mais de 13 milhões de procedimentos eletivos em 2024, segundo dados do Ministério da Saúde. É o maior sistema público universal, atendendo 200 milhões de pessoas.;neutro
10;manual;O Governo entregou esta semana mais 400 unidades móveis para atendimento dentário gratuito. VIVA NOSSO SISTEMA ÚNICO DE SAÚDE. VIVA O SUS!;positivo
11;manual;Hemobrás (Empresa Brasileira de Hemoderivados e Biotecnologia) é uma empresa pública brasileira, vinculada ao Ministério da Saúde, que tem como missão produzir medicamentos derivados do plasma sanguíneo e de biotecnologia para o Sistema Único de Saúde (SUS).;neutro
12;manual;"Eloá, 5 anos, morrendo porque o SUS se negou a fazer um raio-x. Foi diagnosticada com ""laringite"", mas ela tinha pneumonia. A médica se negou a fazer o raio-x (orientada a economizar).";negativo
13;manual;A quanto tempo essa gente promete isso? Ouço falar isso desde a primeira campanha do Lula para presidente em 1994,  é sempre a mesma conversa e na prática nada muda. Infelizmente isso é política, vai chegando perto das eleições as promessas e mentiras vão aumentando.;positivo
14;manual;Canalhas que vivem de promessas, 20 anos no poder e o povo morrendo na fila enquanto a corrupção corre solta.;negativo
15;manual;Agora sim, o @LulaOficial @padilhando e sua trupe, vão finalmente utilizar o SUS, como todos os demais brasileiros. Ou não??🤔😁;neutro
16;manual;“a obesidade está falindo o sus” é sim uma pauta coerente! como o próprio Guto e o moço de moletom disseram, existem diversas outras situações que também falem e Sistema Único de Saúde, porém ali em questão era falando sobre a obesidade. até porque, te garanto que os 97% que… não estão entre essa faixa de 3% que contém fatores genéticos, não são todos que tem a saúde boa, ou não precisam ir em médicos por conta de, diabetes, pressão alta ou colesterol. é uma pauta que é zero reconhecida SIM! metade das pessoas que são gordas não sabiam nem que… existe CID (Classificação Internacional de Doenças) para dizer que a Obesidade é sim uma doença. o que ele fez foi um ato de coragem assim como de todos os 30 que participaram de ir lá e mostrar o quanto as pessoas precisam entender que obesidade é uma doença e deve ser tratada.;neutro
17;manual;Diagnóstico tardio do câncer de colo de útero eleva custos no SUS. Um estudo sobre câncer de colo de útero indica que quanto mais tardio é o diagnóstico da doença, maiores são os custos para o Sistema Único de Saúde (SUS). Além de impactar a sobrevida;neutro
18;manual;Viva o SUS ( Sistema Único de Saúde ) foi criado em 1988 com a promulgação da Constituição Federal Brasileira...;positivo
19;manual;o bait é forte nesse post. O SUS tem muitos problemas, mas insensibilidade com pacientes não é exclusividade do Sistema Único de Saúde brasileiro.;negativo
20;manual;A única loja do shopping onde nada é vendido, mas só oferecido. Um posto do SUS Sistema Único de Saúde e da Prefeitura do Recife, vacina gratuita para a população. E ainda as pessoas lá sensacionais, tirei foto com Lindenbergh. Viva o SUS 🇧🇷!;positivo
21;manual;O tratamento prioritário e gratuito no Sistema Único de Saúde (SUS) agora é direito da vítima. Lutamos por um país sem violência contra a população feminina. Na votação do texto, defendi a independência econômica feminina e pedi que a saúde da mulher seja prioridade no orçamento.;positivo
22;manual;EU QUERO QUE O SUS ENTRE NA MINHA CASA E FAÇA AMOR COMIGO, EU TE AMO SISTEMA ÚNICO DE SAÚDE, EU TE AMO;positivo
23;manual;O SUS (Sistema Único de Saúde) oferece insulina gratuitamente para pacientes com diabetes, através das farmácias populares e unidades básicas de saúde, 0 reais;neutro
Eles nem tem saúde pública, nem vacinas grátis e nem procon.;manual;;neutro
24;manual;O SUS (Sistema Único de Saúde) não foi um movimento de greve, mas sim uma conquista social e política no Brasil. Ele nasceu a partir das lutas do movimento sanitarista durante a década de 1970 e 1980, em plena ditadura militar, quando médicos, profissionais de saúde, acadêmicos +;neutro
25;manual;o tempo de espera, perante o Sistema Único de Saúde - SUS, é de um a dois anos. Tempo esse que, infelizmente, não disponho, dado o agravamento dos sintomas. Logo, peço, humildemente, Vosso auxílio, tanto no compartilhamento, quanto na divulgação dessa campanha, bem como, (...);positivo
